      Step     Time          Energy          fmax
BFGS:    0 11:49:06     -110.615525        0.538217
BFGS:    1 11:49:07     -110.630300        0.512627
BFGS:    2 11:49:07     -110.751094        0.110342
BFGS:    3 11:49:07     -110.752950        0.105385
BFGS:    4 11:49:07     -110.778041        0.160827
BFGS:    5 11:49:08     -110.779728        0.160053
BFGS:    6 11:49:08     -110.796860        0.148082
BFGS:    7 11:49:08     -110.810351        0.124268
BFGS:    8 11:49:09     -110.821030        0.079830
BFGS:    9 11:49:09     -110.823516        0.062758
BFGS:   10 11:49:09     -110.824191        0.052618
BFGS:   11 11:49:10     -110.824831        0.054325
BFGS:   12 11:49:10     -110.825739        0.040551
BFGS:   13 11:49:10     -110.826344        0.022885
BFGS:   14 11:49:11     -110.826560        0.018343
